"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.49589292738626e-98,2.51676662297221,0.462,0.1,3.12460835579486e-94,"0","CCR7"
1.71223817172839e-58,2.11914885400335,0.362,0.1,2.14355096718678e-54,"0","PRKCQ-AS1"
8.49218756662916e-57,2.00335307881355,0.357,0.098,1.0631369614663e-52,"0","LEF1"
8.05774837185585e-41,1.85909696295347,0.285,0.081,1.00874951867263e-36,"0","MAL"
1.25822202422864e-47,1.50928599067742,0.451,0.178,1.57516815213183e-43,"0","PIK3IP1"
1.44495649136822e-22,1.40378358908738,0.256,0.105,1.80894103154388e-18,"0","AAK1"
2.44825347040015e-37,1.36530944127275,0.403,0.167,3.06496851959394e-33,"0","TCF7"
5.86841369851799e-24,1.34049486514664,0.294,0.127,7.34666710917467e-20,"0","FLT3LG"
7.47056562989368e-131,1.2917412675358,0.949,0.561,9.35240111206389e-127,"0","LDHB"
2.68718488694026e-65,1.28011373468004,0.675,0.328,3.36408675996052e-61,"0","NOSIP"
2.4626216569312e-136,6.79149227426651,0.293,0.004,3.08295605231216e-132,"1","FOLR3"
0,6.65462502874641,0.965,0.107,0,"1","S100A8"
0,6.16020899044912,0.992,0.204,0,"1","S100A9"
9.14715394474261e-116,6.13415181073796,0.269,0.007,1.14513220234233e-111,"1","S100A12"
1.0581379795654e-293,5.8427727792102,0.656,0.024,1.32468293661793e-289,"1","CD14"
0,5.66730766083594,0.904,0.052,0,"1","LGALS2"
1.40987698512018e-154,5.4244601478985,0.369,0.013,1.76502499767196e-150,"1","ASGR1"
1.07019095900537e-280,5.18503928263473,0.676,0.036,1.33977206157882e-276,"1","MS4A6A"
6.86838907704526e-131,4.70141692996466,0.316,0.011,8.59853628555296e-127,"1","RBP7"
7.61919835031762e-274,4.6834091205933,1,0.529,9.53847441476263e-270,"1","LYZ"
2.07129188404563e-48,2.17983083608002,0.402,0.12,2.59305030963672e-44,"2","AQP3"
9.54269351555529e-35,2.0738073665419,0.271,0.072,1.19464980121237e-30,"2","CD40LG"
3.44728726041731e-18,1.64011252140897,0.273,0.116,4.31565892131643e-14,"2","OPTN"
1.82326541159601e-16,1.61862844197071,0.292,0.136,2.28254596877705e-12,"2","CORO1B"
5.71498060353604e-24,1.5664806903859,0.282,0.105,7.15458421756676e-20,"2","MAL"
1.30533087855499e-32,1.55917459176047,0.369,0.133,1.63414372686299e-28,"2","TRAT1"
6.9726043967799e-24,1.54671804807486,0.282,0.103,8.72900344432876e-20,"2","TTC39C"
1.08692524764288e-23,1.532471798221,0.296,0.113,1.36072171752412e-19,"2","SIT1"
7.7459511823117e-15,1.52248770964838,0.256,0.118,9.69715628513602e-11,"2","SUSD3"
9.81143070335526e-44,1.50364544702678,0.588,0.257,1.22829300975304e-39,"2","CD2"
2.5338995709605e-233,6.82462464037277,0.483,0.007,3.17218887288545e-229,"3","VPREB3"
1.39578599446035e-262,6.70328041592084,0.552,0.01,1.74738448646492e-258,"3","LINC00926"
0,6.66331439339334,0.931,0.038,0,"3","CD79A"
5.23577242526237e-272,6.587458529059,0.621,0.021,6.55466349918597e-268,"3","TCL1A"
3.36147991272918e-133,6.17779602175523,0.295,0.006,4.20823670274566e-129,"3","FCRLA"
1.2890386610757e-172,6.16072250839629,0.379,0.007,1.61374749980067e-168,"3","FCER2"
2.03796642147762e-145,5.86731445351897,0.318,0.006,2.55133016304783e-141,"3","TSPAN13"
0,5.4076372488668,0.844,0.051,0,"3","MS4A1"
1.8024913354558e-114,5.3365723437957,0.275,0.008,2.25653890285711e-110,"3","PKIG"
1.80387563377887e-102,5.00460330647901,0.263,0.01,2.25827190592776e-98,"3","CD72"
8.01944273065706e-169,3.9948000079466,0.692,0.064,1.00395403545096e-164,"4","GZMK"
4.4336128965662e-36,2.96239745841618,0.333,0.073,5.55043998521123e-32,"4","NCR3"
2.74322054950069e-131,2.66743597984244,0.985,0.247,3.43423780591991e-127,"4","CCL5"
6.99224938410208e-57,2.35481997644474,0.571,0.145,8.75359700395739e-53,"4","LYAR"
2.64551214069654e-48,2.11489981495068,0.439,0.091,3.311916648938e-44,"4","CD8A"
6.99717342302288e-32,2.04631702275806,0.364,0.094,8.75976140828235e-28,"4","KLRG1"
2.20727832763101e-29,1.83844477743545,0.379,0.105,2.76329173836127e-25,"4","CD8B"
9.06215000682949e-36,1.83302740367198,0.449,0.121,1.13449055935498e-31,"4","HOPX"
1.65282788550512e-17,1.56700137146868,0.48,0.234,2.06917522986386e-13,"4","DUSP2"
1.51078368170721e-43,1.50343447164164,0.712,0.257,1.89135009112925e-39,"4","CTSW"
2.42545752327699e-211,6.28192441989037,0.969,0.119,3.03643027339046e-207,"5","GNLY"
1.64398735457191e-269,5.8655695360029,0.944,0.065,2.05810776918857e-265,"5","GZMB"
1.61960585070772e-166,5.76594682465274,0.45,0.013,2.02758456450099e-162,"5","AKR1C3"
1.32763628854988e-112,5.5379948779744,0.288,0.007,1.66206786963559e-108,"5","SH2D1B"
1.50404283408029e-217,5.43415906698985,0.719,0.038,1.88291122398511e-213,"5","SPON2"
3.94767579601998e-176,5.42118121299165,0.531,0.021,4.94209532903741e-172,"5","XCL2"
2.59754149392915e-99,5.31560245663795,0.269,0.008,3.25186219624991e-95,"5","KLRF1"
2.45183229955094e-176,5.28801662496605,0.569,0.027,3.06944885580782e-172,"5","CLIC3"
1.02680185116813e-120,5.21606678308703,0.35,0.012,1.28545323747738e-116,"5","XCL1"
3.08910543877536e-224,5.17724753419651,0.838,0.06,3.86725109880288e-220,"5","FGFBP2"
4.38017682529758e-183,6.43046370288845,0.4,0.005,5.48354336759004e-179,"6","CKB"
7.38788828680448e-223,5.77018111121934,0.533,0.01,9.24889734625053e-219,"6","CDKN1C"
1.92303858188541e-110,5.07943281605683,0.313,0.01,2.40745200066234e-106,"6","BATF3"
2.1120349199204e-207,5.0761996258814,0.607,0.021,2.64405651624835e-203,"6","HES4"
1.86237386687161e-118,4.89148740744148,0.367,0.014,2.33150584393657e-114,"6","MS4A4A"
2.97792178324982e-80,4.68422029513424,0.293,0.016,3.72806028045045e-76,"6","CTD-2006K23.1"
8.86391102322187e-189,4.58150146003727,0.833,0.074,1.10967302099715e-184,"6","MS4A7"
1.35763461239364e-148,4.49736322795709,0.553,0.032,1.6996227712556e-144,"6","LILRA3"
1.0643117281489e-177,4.37347769299042,0.973,0.136,1.3324118524696e-173,"6","FCGR3A"
1.1828327401778e-189,4.2789581762843,0.833,0.071,1.48078830742859e-185,"6","RP11-290F20.3"
2.12497040157742e-211,5.01183779078611,0.826,0.058,2.66025044573477e-207,"7","GZMH"
4.47016701617342e-63,4.13816749034173,0.285,0.021,5.5962020875475e-59,"7","FCRL6"
1.85474872011835e-85,3.40212305937009,0.611,0.088,2.32195992271617e-81,"7","CD8A"
1.60725513498116e-114,3.21995837070376,1,0.262,2.01212270348292e-110,"7","CCL5"
3.06892466929197e-115,3.07563716077138,1,0.244,3.84198679348662e-111,"7","NKG7"
8.20317027472064e-138,3.05370546600194,0.944,0.147,1.02695488669228e-133,"7","CST7"
8.71099815654392e-63,2.83322637100857,0.41,0.049,1.09052985921773e-58,"7","TIGIT"
2.04218780195931e-106,2.65008414598821,0.882,0.155,2.55661490927286e-102,"7","GZMA"
1.83645592085729e-50,2.57854579729373,0.528,0.103,2.29905916732124e-46,"7","CD8B"
8.84570522350327e-75,2.40594608311119,0.569,0.081,1.10739383693037e-70,"7","FGFBP2"
2.41269772063823e-202,8.14053020014408,0.774,0.011,3.020456276467e-198,"8","FCER1A"
4.07846354512935e-141,6.48144139839902,0.419,0.003,5.10582851214744e-137,"8","SERPINF1"
2.53658515856162e-146,6.47970843117456,0.71,0.015,3.17555096000329e-142,"8","CLEC10A"
4.65437227605618e-159,6.24197546370363,0.484,0.004,5.82680865239473e-155,"8","ENHO"
2.08718550260649e-84,5.35090983525679,0.581,0.02,2.61294753071307e-80,"8","CD1C"
2.4029657939941e-36,5.01546693389495,0.258,0.009,3.00827287750122e-32,"8","UPK3A"
7.70186107816223e-54,4.73686627067169,0.387,0.014,9.6419598837513e-50,"8","CACNA2D3"
2.33856427709485e-30,4.60970724820412,0.258,0.012,2.92764861849504e-26,"8","LGMN"
1.56958570005664e-38,4.57085631923276,0.355,0.017,1.96496433790091e-34,"8","NDRG2"
2.88998457410524e-56,4.53599756202111,0.484,0.021,3.61797168832235e-52,"8","HLA-DQB2"
7.32054495426664e-222,11.2426244900209,0.385,0,9.1645902282464e-218,"9","CLDN5"
6.47635837009271e-266,10.9795900841871,0.462,0,8.10775304351906e-262,"9","CMTM5"
7.31926516649191e-222,10.4650169113574,0.385,0,9.16298806193123e-218,"9","AP001189.4"
7.81952683761077e-178,10.4650169113574,0.308,0,9.78926564800492e-174,"9","SEPT5"
1.78854484822127e-102,10.1670268711268,1,0.024,2.23907929548821e-98,"9","PPBP"
0,10.0726994885786,0.923,0.002,0,"9","GP9"
9.20701644173455e-186,10.0437204216068,1,0.011,1.15262638834075e-181,"9","PF4"
7.8181605687902e-178,9.97959008418712,0.308,0,9.78755521606845e-174,"9","LY6G6F"
2.91998587141546e-316,9.92069639513355,0.769,0.002,3.65553031242501e-312,"9","TMEM40"
4.87935162664371e-200,9.63166678076681,1,0.01,6.10846030139526e-196,"9","GNG11"
