"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"0","GO:1903131","mononuclear cell differentiation","16/44",9.56037048373287e-09,1.04972867911387e-05,16,"CCR7/LEF1/TCF7/FLT3LG/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/NPM1/PRDX2/CD3G/LCK"
"0","GO:0030098","lymphocyte differentiation","14/44",2.31833262872069e-08,1.27276461316766e-05,14,"CCR7/LEF1/TCF7/FLT3LG/IL7R/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/PRDX2/CD3G/LCK"
"0","GO:0002521","leukocyte differentiation","16/44",3.7809814108455e-08,1.38383919636945e-05,16,"CCR7/LEF1/TCF7/FLT3LG/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/NPM1/PRDX2/CD3G/LCK"
"0","GO:0030217","T cell differentiation","12/44",5.60339061110608e-08,1.53813072274862e-05,12,"CCR7/LEF1/TCF7/IL7R/CD27/CD3E/RHOH/CD3D/SOCS3/PRDX2/CD3G/LCK"
"0","GO:0042110","T cell activation","16/44",2.86857799628858e-07,6.29939727984972e-05,16,"CCR7/LEF1/TCF7/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/CD7/PRDX2/CD3G/LAT/LCK"
"0","GO:0046649","lymphocyte activation","17/44",3.63787528535949e-06,0.000630136121027871,17,"CCR7/LEF1/TCF7/FLT3LG/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/CD7/PRDX2/CD3G/LAT/LCK"
"0","GO:0046629","gamma-delta T cell activation","5/44",4.01726124516857e-06,0.000630136121027871,5,"LEF1/TCF7/CD3E/CD3G/LCK"
"0","GO:0030097","hemopoiesis","16/44",6.51608255283002e-06,0.000894332330375921,16,"CCR7/LEF1/TCF7/FLT3LG/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/NPM1/PRDX2/CD3G/LCK"
"0","GO:0050863","regulation of T cell activation","11/44",3.0986819527033e-05,0.00371040358158395,11,"CCR7/LEF1/TCF7/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LAT/LCK"
"0","GO:0045619","regulation of lymphocyte differentiation","8/44",3.37923823459376e-05,0.00371040358158395,8,"LEF1/TCF7/IL7R/CD27/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0045321","leukocyte activation","17/44",3.91866808229731e-05,0.00384872755212102,17,"CCR7/LEF1/TCF7/FLT3LG/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/CD7/PRDX2/CD3G/LAT/LCK"
"0","GO:0001775","cell activation","18/44",4.2062596198044e-05,0.00384872755212102,18,"CCR7/LEF1/TCF7/FLT3LG/IL7R/RGCC/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/CD7/PRDX2/CD3G/LAT/LCK"
"0","GO:1902105","regulation of leukocyte differentiation","9/44",5.30603003142917e-05,0.00448155459577633,9,"LEF1/TCF7/IL7R/MYC/CD27/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0007166","cell surface receptor signaling pathway","21/44",6.88978676175733e-05,0.00492304489728455,21,"CCR7/LEF1/MAL/AAK1/TCF7/TRAT1/IL7R/RGCC/MYC/CD27/CD3E/LEPROTL1/CD3D/SOCS3/OCIAD2/CD7/PRDX2/CD3G/RPS12/LAT/LCK"
"0","GO:0045580","regulation of T cell differentiation","7/44",7.59863891954366e-05,0.00492304489728455,7,"LEF1/TCF7/IL7R/CD27/RHOH/PRDX2/LCK"
"0","GO:0050852","T cell receptor signaling pathway","7/44",7.59863891954366e-05,0.00492304489728455,7,"CCR7/TRAT1/CD3E/CD3D/CD3G/LAT/LCK"
"0","GO:0051249","regulation of lymphocyte activation","12/44",7.62220066064092e-05,0.00492304489728455,12,"CCR7/LEF1/TCF7/FLT3LG/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LAT/LCK"
"0","GO:0033077","T cell differentiation in thymus","5/44",8.45078238969196e-05,0.0051549772577121,5,"CCR7/IL7R/CD3E/CD3D/CD3G"
"0","GO:0042274","ribosomal small subunit biogenesis","6/44",0.000133205965650885,0.00769790264656166,6,"RPS3A/NPM1/RPS27A/RPS12/RPS13/RPS25"
"0","GO:0045058","T cell selection","5/44",0.000151937720436947,0.00834138085198839,5,"CCR7/CD3E/CD3D/SOCS3/CD3G"
"0","GO:0002694","regulation of leukocyte activation","12/44",0.000186678865669004,0.00971326336178178,12,"CCR7/LEF1/TCF7/FLT3LG/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LAT/LCK"
"0","GO:1903706","regulation of hemopoiesis","9/44",0.00019461912018142,0.00971326336178178,9,"LEF1/TCF7/IL7R/MYC/CD27/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0002682","regulation of immune system process","19/44",0.000218313518408096,0.0104220975309604,19,"CCR7/LEF1/TCF7/FLT3LG/TRAT1/IL7R/RGCC/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/CD7/AQP3/PRDX2/CD3G/LAT/LCK"
"0","GO:0022407","regulation of cell-cell adhesion","10/44",0.000304043151122678,0.0139099741638625,10,"CCR7/LEF1/IL7R/RGCC/CD27/CD3E/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0045595","regulation of cell differentiation","13/44",0.000339127924975985,0.0148944984649453,13,"LEF1/TCF7/IL7R/RGCC/MYC/CD27/NDFIP1/RHOH/SOCS3/AQP3/PRDX2/SPOCK2/LCK"
"0","GO:0050865","regulation of cell activation","12/44",0.000360752370304661,0.0152348500997892,12,"CCR7/LEF1/TCF7/FLT3LG/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LAT/LCK"
"0","GO:2000106","regulation of leukocyte apoptotic process","5/44",0.000402508500661011,0.015710006305118,5,"CCR7/IL7R/MYC/CD27/CD3G"
"0","GO:0046631","alpha-beta T cell activation","7/44",0.000405032470282034,0.015710006305118,7,"LEF1/MYC/CD3E/NDFIP1/CD3D/SOCS3/CD3G"
"0","GO:0048468","cell development","18/44",0.000414927306783625,0.015710006305118,18,"CCR7/LEF1/MAL/TCF7/FLT3LG/C12orf57/IL7R/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/NPM1/PRDX2/CD3G/LCK"
"0","GO:0030154","cell differentiation","22/44",0.000463873138224833,0.0162883303981407,22,"CCR7/LEF1/MAL/TCF7/FLT3LG/C12orf57/IL7R/RGCC/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/RPS3A/NPM1/AQP3/PRDX2/SPOCK2/CD3G/LCK"
"0","GO:0048869","cellular developmental process","22/44",0.000463873138224833,0.0162883303981407,22,"CCR7/LEF1/MAL/TCF7/FLT3LG/C12orf57/IL7R/RGCC/MYC/CD27/CD3E/NDFIP1/RHOH/CD3D/SOCS3/RPS3A/NPM1/AQP3/PRDX2/SPOCK2/CD3G/LCK"
"0","GO:1903037","regulation of leukocyte cell-cell adhesion","9/44",0.000474705439654374,0.0162883303981407,9,"CCR7/LEF1/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0043368","positive T cell selection","4/44",0.000533222596882442,0.0177417700417249,4,"CD3E/CD3D/SOCS3/CD3G"
"0","GO:0002250","adaptive immune response","11/44",0.000563298740311349,0.0181912357900548,11,"LEF1/TRAT1/IL7R/CD27/CD3E/NDFIP1/CD3D/SOCS3/CD7/CD3G/LAT"
"0","GO:0045582","positive regulation of T cell differentiation","5/44",0.000608095464146312,0.0190768234180757,5,"LEF1/IL7R/CD27/RHOH/LCK"
"0","GO:0009967","positive regulation of signal transduction","15/44",0.000744585137048059,0.0227098466799658,15,"CCR7/LEF1/MAL/AAK1/TRAT1/IL7R/MYC/CD27/CD3E/NDFIP1/OCIAD2/PRDX2/RPS12/LAT/LCK"
"0","GO:0030155","regulation of cell adhesion","11/44",0.000797843889463884,0.0236765565035499,11,"CCR7/LEF1/IL7R/RGCC/CD27/CD3E/NDFIP1/RHOH/PRDX2/SPOCK2/LCK"
"0","GO:0048583","regulation of response to stimulus","25/44",0.000854907231016328,0.0247023194646297,25,"CCR7/LEF1/MAL/PIK3IP1/AAK1/TRAT1/IL7R/RGCC/MYC/CD27/CD3E/LEPROTL1/NDFIP1/RHOH/CD3D/SOCS3/DNAJB1/OCIAD2/NPM1/CD7/PRDX2/CD3G/RPS12/LAT/LCK"
"0","GO:0071887","leukocyte apoptotic process","5/44",0.000884100633684334,0.0248625959382796,5,"CCR7/IL7R/MYC/CD27/CD3G"
"0","GO:0002684","positive regulation of immune system process","15/44",0.00091042623876341,0.0248625959382796,15,"CCR7/LEF1/FLT3LG/TRAT1/IL7R/RGCC/CD27/CD3E/RHOH/CD3D/CD7/AQP3/CD3G/LAT/LCK"
"0","GO:0070228","regulation of lymphocyte apoptotic process","4/44",0.000928384729935759,0.0248625959382796,4,"IL7R/MYC/CD27/CD3G"
"0","GO:0050851","antigen receptor-mediated signaling pathway","7/44",0.00104327295862672,0.0268834779164579,7,"CCR7/TRAT1/CD3E/CD3D/CD3G/LAT/LCK"
"0","GO:0045621","positive regulation of lymphocyte differentiation","5/44",0.00105281379818551,0.0268834779164579,5,"LEF1/IL7R/CD27/RHOH/LCK"
"0","GO:0009966","regulation of signal transduction","20/44",0.00109387244657994,0.027297089689654,20,"CCR7/LEF1/MAL/PIK3IP1/AAK1/TRAT1/IL7R/MYC/CD27/CD3E/LEPROTL1/NDFIP1/RHOH/SOCS3/OCIAD2/NPM1/PRDX2/RPS12/LAT/LCK"
"0","GO:0007159","leukocyte cell-cell adhesion","9/44",0.00130166880354416,0.0317607188064775,9,"CCR7/LEF1/IL7R/CD27/CD3E/NDFIP1/RHOH/PRDX2/LCK"
"0","GO:0010647","positive regulation of cell communication","15/44",0.00184590798735857,0.0423857994065417,15,"CCR7/LEF1/MAL/AAK1/TRAT1/IL7R/MYC/CD27/CD3E/NDFIP1/OCIAD2/PRDX2/RPS12/LAT/LCK"
"0","GO:0070227","lymphocyte apoptotic process","4/44",0.00185286831825235,0.0423857994065417,4,"IL7R/MYC/CD27/CD3G"
"0","GO:0048584","positive regulation of response to stimulus","19/44",0.00190530029224192,0.0423857994065417,19,"CCR7/LEF1/MAL/AAK1/TRAT1/IL7R/RGCC/MYC/CD27/CD3E/NDFIP1/CD3D/OCIAD2/CD7/PRDX2/CD3G/RPS12/LAT/LCK"
"0","GO:0051251","positive regulation of lymphocyte activation","8/44",0.0019174047427236,0.0423857994065417,8,"CCR7/LEF1/FLT3LG/IL7R/CD27/CD3E/RHOH/LCK"
"0","GO:0023056","positive regulation of signaling","15/44",0.00193013658499735,0.0423857994065417,15,"CCR7/LEF1/MAL/AAK1/TRAT1/IL7R/MYC/CD27/CD3E/NDFIP1/OCIAD2/PRDX2/RPS12/LAT/LCK"
"0","GO:0050870","positive regulation of T cell activation","7/44",0.00229863607609189,0.0494882825793901,7,"CCR7/LEF1/IL7R/CD27/CD3E/RHOH/LCK"
"1","GO:0002376","immune system process","30/47",1.00001519309654e-06,0.00104601589197898,30,"S100A8/S100A9/S100A12/CD14/LGALS2/ASGR1/LYZ/BST1/CSF3R/TMEM176B/FCN1/FPR1/IGSF6/CD33/IL1B/APOBEC3A/GRN/RAB32/NCF2/TNFSF13B/TYROBP/FCGR2A/MAFB/CST3/MNDA/LGALS3/CFD/FCGRT/CD68/CFP"
"1","GO:0006955","immune response","25/47",5.94247329881863e-06,0.00171456544487235,25,"S100A8/S100A9/S100A12/CD14/ASGR1/LYZ/BST1/FCN1/FPR1/IGSF6/CD33/IL1B/APOBEC3A/GRN/NCF2/TNFSF13B/TYROBP/FCGR2A/CST3/MNDA/LGALS3/CFD/FCGRT/CD68/CFP"
"1","GO:0006959","humoral immune response","9/47",7.75930793059497e-06,0.00171456544487235,9,"S100A9/S100A12/LYZ/BST1/FCN1/IL1B/LGALS3/CFD/CFP"
"1","GO:0006952","defense response","23/47",8.11667840474073e-06,0.00171456544487235,23,"S100A8/S100A9/S100A12/CD14/LGALS2/LYZ/BST1/CSF3R/FCN1/FPR1/IL1B/APOBEC3A/GRN/NCF2/TYROBP/FCGR2A/CST3/MNDA/LGALS3/CFD/CD68/GSTP1/CFP"
"1","GO:0030593","neutrophil chemotaxis","7/47",8.19581952615846e-06,0.00171456544487235,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:0071621","granulocyte chemotaxis","7/47",2.30465756565039e-05,0.00344381687667187,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:1990266","neutrophil migration","7/47",2.30465756565039e-05,0.00344381687667187,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:0009605","response to external stimulus","24/47",2.8422846688532e-05,0.00371628720452556,24,"S100A8/S100A9/S100A12/CD14/LGALS2/LYZ/BST1/CSF3R/FCN1/FPR1/CDA/IL1B/APOBEC3A/GRN/RAB32/NCF2/TYROBP/TYMP/MNDA/LGALS3/CFD/CD68/GSTP1/CFP"
"1","GO:0097530","granulocyte migration","7/47",6.75243425498086e-05,0.00784782914523331,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:0006935","chemotaxis","10/47",9.20859203526566e-05,0.00875653388080716,10,"S100A8/S100A9/S100A12/BST1/CSF3R/FPR1/IL1B/TYMP/LGALS3/GSTP1"
"1","GO:0042330","taxis","10/47",9.20859203526566e-05,0.00875653388080716,10,"S100A8/S100A9/S100A12/BST1/CSF3R/FPR1/IL1B/TYMP/LGALS3/GSTP1"
"1","GO:0006954","inflammatory response","14/47",0.000116500371972079,0.0101549490902328,14,"S100A8/S100A9/S100A12/CD14/LGALS2/LYZ/BST1/FPR1/IL1B/GRN/TYROBP/FCGR2A/CD68/GSTP1"
"1","GO:0031349","positive regulation of defense response","11/47",0.000178587251377877,0.0141471255174059,11,"S100A8/S100A9/S100A12/CD14/LGALS2/FCN1/IL1B/GRN/TYROBP/MNDA/CFP"
"1","GO:0002682","regulation of immune system process","20/47",0.000189349672317096,0.0141471255174059,20,"S100A8/S100A9/CD14/BST1/CSF3R/TMEM176B/FCN1/FPR1/CD33/IL1B/GRN/TNFSF13B/TYROBP/FCGR2A/MAFB/MNDA/LGALS3/CFD/CD68/CFP"
"1","GO:0048708","astrocyte differentiation","4/47",0.000243676753754475,0.0169923922951454,4,"S100A8/S100A9/IL1B/GRN"
"1","GO:0031347","regulation of defense response","13/47",0.000289595353975219,0.0189322962661299,13,"S100A8/S100A9/S100A12/CD14/LGALS2/BST1/FCN1/IL1B/GRN/TYROBP/MNDA/GSTP1/CFP"
"1","GO:0021782","glial cell development","5/47",0.00034963134318286,0.0215126108805454,5,"S100A8/S100A9/IL1B/GRN/GSTP1"
"1","GO:0060326","cell chemotaxis","8/47",0.000552304714760109,0.0320950406466152,8,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3/GSTP1"
"1","GO:0032103","positive regulation of response to external stimulus","11/47",0.000669032199857295,0.0368319832131964,11,"S100A8/S100A9/S100A12/CD14/LGALS2/FCN1/IL1B/GRN/TYROBP/MNDA/CFP"
"1","GO:0008037","cell recognition","5/47",0.000830071827246405,0.043412756564987,5,"FOLR3/FCN1/VCAN/LGALS3/CFP"
"1","GO:0097529","myeloid leukocyte migration","7/47",0.000893074678837312,0.0436558026220382,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:0071466","cellular response to xenobiotic stimulus","4/47",0.000918190877327764,0.0436558026220382,4,"S100A12/ALDH2/IL1B/GSTP1"
"1","GO:0030595","leukocyte chemotaxis","7/47",0.00100453336171797,0.0444618369226667,7,"S100A8/S100A9/S100A12/BST1/CSF3R/IL1B/LGALS3"
"1","GO:0050729","positive regulation of inflammatory response","6/47",0.00105150081344317,0.0444618369226667,6,"S100A8/S100A9/S100A12/LGALS2/IL1B/GRN"
"1","GO:0050776","regulation of immune response","15/47",0.00108206827168068,0.0444618369226667,15,"S100A8/S100A9/CD14/FCN1/FPR1/CD33/IL1B/GRN/TNFSF13B/TYROBP/FCGR2A/MNDA/LGALS3/CFD/CFP"
"1","GO:0009617","response to bacterium","11/47",0.00110516994262843,0.0444618369226667,11,"S100A8/S100A9/S100A12/CD14/LYZ/IL1B/GRN/CFD/CD68/GSTP1/CFP"
"1","GO:0030888","regulation of B cell proliferation","4/47",0.00119607798732378,0.0458628372210736,4,"BST1/TNFSF13B/TYROBP/MNDA"
"1","GO:0002253","activation of immune response","11/47",0.0012663166014187,0.0458628372210736,11,"S100A8/S100A9/CD14/FCN1/FPR1/IL1B/TYROBP/MNDA/LGALS3/CFD/CFP"
"1","GO:0043207","response to external biotic stimulus","18/47",0.00127153181588063,0.0458628372210736,18,"S100A8/S100A9/S100A12/CD14/LYZ/FCN1/CDA/IL1B/APOBEC3A/GRN/NCF2/TYROBP/MNDA/LGALS3/CFD/CD68/GSTP1/CFP"
"1","GO:0042742","defense response to bacterium","7/47",0.00140618769355085,0.0490290775818062,7,"S100A8/S100A9/S100A12/LYZ/IL1B/GRN/CFP"
"2","GO:0030098","lymphocyte differentiation","14/46",4.42577541078406e-08,4.30185369928211e-05,14,"CD40LG/CD2/ITM2A/IL7R/CD3D/CD3G/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0030217","T cell differentiation","11/46",9.41981931042125e-07,0.000366396741579722,11,"CD2/IL7R/CD3D/CD3G/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:1903131","mononuclear cell differentiation","14/46",1.13085414067815e-06,0.000366396741579722,14,"CD40LG/CD2/ITM2A/IL7R/CD3D/CD3G/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0002521","leukocyte differentiation","14/46",3.53811159621445e-06,0.000859761117880111,14,"CD40LG/CD2/ITM2A/IL7R/CD3D/CD3G/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0042110","T cell activation","14/46",1.8829206978334e-05,0.00366039783658812,14,"CD40LG/SIT1/CD2/IL7R/CD3D/CD3G/LAT/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0046649","lymphocyte activation","16/46",3.42978315004563e-05,0.00473567191078338,16,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0043368","positive T cell selection","5/46",3.64967234962437e-05,0.00473567191078338,5,"CD3D/CD3G/CD3E/SOCS3/CD69"
"2","GO:0002250","adaptive immune response","13/46",4.25521518836625e-05,0.00473567191078338,13,"CD40LG/TRAT1/SIT1/IL7R/CD3D/CD3G/LAT/CD3E/LEF1/CD27/SOCS3/CD69/TAP1"
"2","GO:0007166","cell surface receptor signaling pathway","22/46",4.40427147936914e-05,0.00473567191078338,22,"CD40LG/MAL/TRAT1/CD2/TRADD/LTB/IL7R/CD3D/CD3G/PLP2/LAT/LEPROTL1/LCK/PBXIP1/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/IFITM1/OCIAD2"
"2","GO:0050863","regulation of T cell activation","11/46",4.87209044319277e-05,0.00473567191078338,11,"CD40LG/SIT1/CD2/IL7R/LAT/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0030097","hemopoiesis","15/46",5.80175976443811e-05,0.00512664590093986,15,"CD40LG/CD2/ITM2A/IL7R/CD3D/CD3G/FLT3LG/LCK/PBXIP1/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0045580","regulation of T cell differentiation","7/46",0.000102250629893917,0.00828230102140732,7,"CD2/IL7R/LCK/LEF1/PRDX2/CD27/CD69"
"2","GO:0051249","regulation of lymphocyte activation","12/46",0.000122725138161978,0.00917606417641867,12,"CD40LG/SIT1/CD2/IL7R/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0046629","gamma-delta T cell activation","4/46",0.000145699092954817,0.0101156798822916,4,"CD3G/LCK/CD3E/LEF1"
"2","GO:0045058","T cell selection","5/46",0.000188735206083751,0.0122300413542271,5,"CD3D/CD3G/CD3E/SOCS3/CD69"
"2","GO:0045321","leukocyte activation","16/46",0.000287275214379021,0.0166223384379947,16,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0002694","regulation of leukocyte activation","12/46",0.000296253716494293,0.0166223384379947,12,"CD40LG/SIT1/CD2/IL7R/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0001775","cell activation","17/46",0.000307821082185087,0.0166223384379947,17,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/CD69"
"2","GO:0045619","regulation of lymphocyte differentiation","7/46",0.00035958281044639,0.0183954995659943,7,"CD2/IL7R/LCK/LEF1/PRDX2/CD27/CD69"
"2","GO:0002520","immune system development","6/46",0.000433326428806254,0.0210596644399839,6,"CD40LG/LTB/IL7R/CD3E/LEF1/PRDX2"
